park_name_th,trail_name,description,difficulty(ง่าย/ปานกลาง/ยาก),distance_km,duration
อุทยานแห่งชาติเขาใหญ่,200 ปี ความสัมพันธ์ไทย-สหรัฐอเมริกา,เส้นทางใหม่ล่าสุดของอุทยานเพื่อฉลองความสัมพันธ์อันยาวนานของทั้งสองประเทศ ซึ่งนอกจากเส้นทางจะปรากฏร่องรอยความสัมพันธ์ในประวัติศาสตร์ร่วมกันแล้ว การจัดทำเส้นทางยังใช้มาตรฐานของอุทยานแห่งชาติของสหรัฐอเมริกาภายใต้โครงการอุทยานพี่อุทยานน้องด้วย,ง่าย,2,1.5 ชั่วโมง
อุทยานแห่งชาติเขาใหญ่,ศูนย์บริการนักท่องเที่ยว - น้ำตกกองแก้ว,เป็นเส้นทางเดินป่าระยะสั้นที่สุด และสภาพทางเดินสะดวกที่สุด เหมาะกับนักท่องเที่ยวทุกเพศทุกวัย เส้นทางจะลัดเลาะในป่าดิบชื้นสลับกับป่าดิบแล้งที่มีความอุดมสมบูรณ์ ระหว่างเส้นทางจะได้พบกับไม้กฤษณาหรือไม้หอม ซึ่งเป็นไม้ที่มีคุณค่า มีสารที่ให้กลิ่นหอมจรุงใจเมื่อโดนไฟเผา และอาจได้พบกับสัตว์ป่า เช่น ชะนีมือขาว ชะนีมงกุฎ และนกชนิดต่างๆ ด้วย ปลายเส้นทางจะพบกับน้ำตกกองแก้ว ที่ให้สัมผัสถึงความชุ่มฉ่ำเย็นของสายน้ำในป่าดิบ ซึ่งเกิดจากหินภูเขาไฟ และป่าพรุน้ำจืดที่เหมาะแก่การถ่ายภาพและศึกษาระบบนิเวศ,ง่าย,1.2,45 นาที - 1 ชั่วโมง
อุทยานแห่งชาติภูกระดึง,เส้นทางศึกษาธรรมชาติหล่มสัก,เป็นเส้นทางเดินชมวิวเลียบหน้าผา ระยะทางประมาณ 9 กิโลเมตรจากศูนย์บริการนักท่องเที่ยววังกวาง ใช้เวลาเดินเท้าประมาณ 3-4 ชั่วโมง เป็นจุดชมพระอาทิตย์ตกดินยอดฮิตที่มีแผ่นหินยื่นออกไปและมีต้นสนเป็นฉากหลัง,ปานกลาง,9.5,4.5 ชั่วโมง
อุทยานแห่งชาติภูกระดึง,เส้นทางศึกษาธรรมชาติผานกแอ่น - น้ำตกถ้ำใหญ่,เป็นเส้นทางที่ใหญ่ที่สุดบนยอดภูกระดึง โดยเริ่มที่ศูนย์บริการนักท่องเที่ยวไปผานกแอ่นวนกลับที่ศูนย์บริการและไปน้ำตกถ้ำใหญ่,ปานกลาง,10.5,6 ชั่วโมง
อุทยานแห่งชาติดอยอินทนนท์,เส้นทางศึกษาธรรมชาติกิ่วแม่ปาน,เป็นเส้นทางเดินศึกษาธรรมชาติระยะสั้นแบบวงรอบ ระยะทางประมาณ 3.2 กิโลเมตร ใช้เวลาเดิน 2-3 ชั่วโมง ไฮไลท์สำคัญคือจุดชมวิวทะเลหมอก จุดชมกุหลาบพันปี และทุ่งหญ้ากึ่งอัลไพน์,ง่าย,2.8,2.5 ชั่วโมง
อุทยานแห่งชาติดอยอินทนนท์,เส้นทางศึกษาธรรมชาติอ่างกา,ตั้งอยู่บนยอดดอยอินทนนท์ จังหวัดเชียงใหม่ ฝั่งตรงข้ามป้ายสูงสุดแดนสยาม เป็นเส้นทางศึกษาธรรมชาติระยะสั้นประมาณ 320 - 360 เมตร ใช้เวลาเดินสบายๆ ราว 30 นาที บนสะพานไม้ตลอดสาย พาชมความอุดมสมบูรณ์ของป่าดึกดำบรรพ์ และป่าพรุภูเขาที่สูงที่สุดในประเทศไทย,ง่าย,0.36,30 นาที
อุทยานแห่งชาติแก่งกระจาน,เส้นทางศึกษาธรรมชาติน้ำตกป่าละอู,หนึ่งในเสน่ห์หลักของน้ำตกป่าละอูที่ทำให้ที่นี่ต่างจากน้ำตกทั่วไปคือเส้นทางเดินที่ต้องลัดเลาะผ่านธรรมชาติจริงๆ ไม่มีบันไดปูนแต่เป็นทางเท้าที่ไต่ระดับขึ้นไปตามลำธาร ข้ามโขดหิน เดินเลียบขอบน้ำ บางช่วงต้องก้าวข้ามหินเปียกหรือเกาะรากไม้ขึ้นเนิน,ง่าย,2,1 ชั่วโมง
อุทยานแห่งชาติแก่งกระจาน,เส้นทางศึกษาธรรมชาติเฉลิมพระเกียรติฯกล้วยไม้พะเนินทุ่ง,"เป็นเส้นทางเดินป่าลึก ที่ถูกจัดทำขึ้นเพื่อสื่อความหมายและให้ความรู้เรื่องความหลากหลายทางชีวภาพ โดยเฉพาะการเป็นแหล่งรวบรวม ""กล้วยไม้ป่าหายาก"" นานาชนิดที่เกาะอยู่ตามคบไม้ใหญ่ในป่าดิบชื้น",ง่าย,0.665,30 นาที
อุทยานแห่งชาติเขาสก,เส้นทางศึกษาธรรมชาติถ้ำน้ำทะลุ, ไฮไลต์คือการเดินป่าและลุยน้ำในลำธารลอดถ้ำระยะทาง ๕๐๐ เมตร ชมหินงอกหินย้อย ใช้เวลาไป-กลับราว ๓-๔ ชั่วโมง ,ปานกลาง,3,4 ชั่วโมง
อุทยานแห่งชาติเขาสก,เส้นทางศึกษาธรรมชาติสันยางร้อย,ป็นเส้นทางเดินป่าดิบชื้นระยะสั้นที่ได้รับ การรับรองมาตรฐานคุณภาพแหล่งท่องเที่ยวทางธรรมชาติ จากกรมการท่องเที่ยว ทางเดินจะเริ่มต้นจากบริเวณด้านหลังศูนย์บริการนักท่องเที่ยวของอุทยานฯ เป็นเส้นทางที่เหมาะมากสำหรับนักท่องเที่ยวที่ต้องการเดินชมความสมบูรณ์ของป่าฝนเขตร้อนแบบไม่ต้องลุยหนักจนเกินไป,ง่าย,2,1 ชั่วโมง
อุทยานแห่งชาติหมู่เกาะสิมิลัน,เส้นทางศึกษาธรรมชาติหินเรือใบ,เส้นทางนี้เป็นทางเดินสั้นๆ แต่ลาดชัน ท้าทายแรงขา เพื่อพานักท่องเที่ยวไต่ขึ้นสู่ยอดเขาหินแกรนิตอันเป็นสัญลักษณ์ระดับโลกของทะเลไทย,ง่าย,0.34,30 นาที
อุทยานแห่งชาติหมู่เกาะสิมิลัน,เส้นทางศึกษาธรรมชาติสิมิลันเฉลิมพระเกียรติ,เป็นเส้นทางเดินระยะสั้น ที่สามารถไปหาดเล็กและจุดชมวิว,ง่าย,0.77,45 นาที
อุทยานแห่งชาติเขาแหลมหญ้า-หมู่เกาะเสม็ด,เส้นทางศึกษาธรรมชาติอุทยานแห่งชาติเขาแหลมหญ้า-หมู่เกาะเสม็ด,เป็นเส้นทางเดินระยะสั้น เป็นเส้นทางเดินเลียบชายฝั่งทะเลที่สวยงามและได้รับความนิยม ที่สามารถไปยังจุดชมวิวได้ และวนกลับมาจุดเริ่มต้นได้โดยจะผ่านอุโมงค์ป่าที่ร่มรื่น,ง่าย,1.1,1 ชั่วโมง
อุทยานแห่งชาติดอยผ้าห่มปก,เส้นทางศึกษาธรรมชาติน้ำพุร้อน,เป็นเส้นทางที่จะนำไปบ่อน้ำพุร้อนที่ตัดผ่านป่าเบญจพรรณอันร่มรื่นมาสิ้นสุดที่บริเวณบ่อน้ำพุร้อน เหมาะสำหรับนักท่องเที่ยวทุกเพศทุกวัยที่ต้องการเดินออกกำลังกายเบา ๆ ชมธรรมชาติ และเรียนรู้เรื่องพลังงานความร้อนใต้พิภพ,ง่าย,0.38,30 นาที
อุทยานแห่งชาติดอยผ้าห่มปก,เส้นทางศึกษาธรรมชาติดอยผ้าห่มปก,"เป็นเส้นทางเดินป่าเพื่อขึ้นสู่ยอดดอยที่สูงเป็นอันดับ 2 ของประเทศไทย (ความสูง 2,285 เมตร จากระดับน้ำทะเลปานกลาง)",ปานกลาง,3.5,3 ชั่วโมง
อุทยานแห่งชาติเอราวัณ,เส้นทางศึกษาธรรมชาติอุทยานแห่งชาติเอราวัณ,เส้นทางจะตัดผ่านป่าเบญจพรรณ ป่าดิบแล้ง และป่าไผ่ไว้ทั้งหมด 3 เส้นทางหลัก เพื่อให้นักท่องเที่ยวได้เดินชมพืชพรรณ ป่าไม้หินปูน และระบบนิเวศอันอุดมสมบูรณ์ โดยแต่ละเส้นทางมีความยาวและจุดเด่นที่แตกต่างกันอย่างชัดเจน,ง่าย,0.8,30 นาที
อุทยานแห่งชาติผาแต้ม,เส้นทางศึกษาธรรมชาติภาพเขียนสีก่อนประวัติศาสตร์ผาแต้ม,"อุทยานแห่งชาติผาแต้ม อำเภอโขงเจียม จังหวัดอุบลราชธานี เป็นเส้นทางเดินเท้าเลียบใต้เพิงผาหินทรายเพื่อชม แหล่งภาพเขียนสีก่อนประวัติศาสตร์ที่ยาวที่สุดในประเทศไทย มีอายุเก่าแก่ประมาณ 3,000 - 4,000 ปี โดยมีระยะทางเดินวนรอบวงกลม (Loop Trail)",ง่าย,4,2 ชั่วโมง
อุทยานแห่งชาติผาแต้ม,เส้นทางศึกษาธรรมชาติผาชนะได,"เป็นหน้าผาสูงชันริมแม่น้ำโขงที่เป็น ""จุดชมพระอาทิตย์ขึ้นแห่งแรกของประเทศไทย"" และเป็นพิกัดที่กรมอุตุนิยมวิทยาใช้บอกเวลาแจ้งเตือนดวงอาทิตย์ขึ้นในทุก ๆ เช้า",ง่าย,7.2,4 ชั่วโมง